NAME,ORGAN_NAME,ADDRESS,ADDRESS2,CITY,STATE,COUNTY,ZIPCODE,PHONE,XCOORD,YCOORD,IS_CHAIN
CVS/PHARMACY #1344,,500 12TH ST SE, ,Washington,DC,,None,401-765-1500,400875.470000000030268,134967.049999999988358,1
CVS/PHARMACY #1346,,5550 CONNECTICUT AVE NW, ,Washington,DC,,None,401-765-1500,393423.729999999981374,144091.339999999996508,1
CVS/PHARMACY #1347,,6 DUPONT CIRCLE NW, ,Washington,DC,,None,401-765-1500,396141.720000000030268,137954.160000000003492,1
CVS/PHARMACY #1351,,1755 COLUMBIA RD NW, ,Washington,DC,,None,401-765-1500,396406.229999999981374,139555.839999999996508,1
CVS/PHARMACY #1353,,3327 CONNECTICUT AVE NW, ,Washington,DC,,None,401-765-1500,395029.940000000002328,140720.010000000009313,1
CVS/PHARMACY #1362,,4309 CONNECTICUT AVE NW, ,Washington,DC,,None,401-765-1500,394493.140000000013970,141894.200000000011642,1
CVS/PHARMACY #1364,,6514 GEORGIA AVE NW, ,Washington,DC,,None,401-765-1500,397598.390000000013970,144618.750000000000000,1
CVS/PHARMACY #1365,,1637 P STREET NW, ,Washington,DC,,None,401-765-1500,396685.280000000027940,137997.779999999998836,1
CVS/PHARMACY #1842,,1275 PENNSYLVANIA AVE NW, ,Washington,DC,,None,401-765-1500,397462.380000000004657,136423.630000000004657,1
CVS/PHARMACY #2104,,5013 CONNECTICUT AVE NW, ,Washington,DC,,None,401-765-1500,393974.820000000006985,143053.300000000017462,1
CVS/PHARMACY #2174,,4555 WISCONSIN AVE NW, ,Washington,DC,,None,401-765-1500,393059.109999999986030,142390.910000000003492,1
CVS/PHARMACY #22,,320 40TH STREET NE, ,Washington,DC,,None,401-765-1500,404555.570000000006985,136132.760000000009313,1
CVS/PHARMACY #2330,,110 CARROLL STREET NW, ,Washington,DC,,None,401-765-1500,398735.590000000025611,145174.769999999989523,1
CVS/PHARMACY #2378,,2226 WISCONSIN AVE NW, ,Washington,DC,,None,401-765-1500,393793.350000000034925,139108.899999999994179,1
CVS/PHARMACY #2817,,1418 P ST NW, ,Washington,DC,,None,401-765-1500,397150.799999999988358,137942.899999999994179,1
CVS/PHARMACY #2847,,2000 PENNSYLVANIA AVE NW, ,Washington,DC,,None,401-765-1500,396029.250000000000000,136945.709999999991851,1
CVS/PHARMACY #4546,,2129 14TH ST NW, ,Washington,DC,,None,401-765-1500,397257.410000000032596,139004.320000000006985,1
CVS/PHARMACY #5674,,3700 NEWARK ST NW, ,Washington,DC,,None,401-765-1500,393641.239999999990687,140744.570000000006985,1
CVS/PHARMACY #7074,,2240 M ST NW, ,Washington,DC,,None,401-765-1500,395711.500000000000000,137467.839999999996508,1
CVS/PHARMACY #7174,,1200 1ST ST NE, ,Washington,DC,,None,401-765-1500,399453.619999999995343,137580.510000000009313,1
CVS/PHRMACY #2787,,3642 GEORGIA AVE NW, ,Washington,DC,,None,401-765-1500,397878.910000000032596,140854.660000000003492,1
CAPITAL CARE PHARMACY,,3845 PENNSYLVANIA AVE SE, ,Washington,DC,,None,202-885-9474,404244.799999999988358,133019.679999999993015,0
CEDAR HILL REGIONAL MEDICAL CENTER,,1200 PECAN ST SE, ,Washington,DC,,None,202-715-5037,400492.989999999990687,131447.160000000003492,0
COMMUNITY OF HOPE PHARMACY,,2120 BLADENSBURG ROAD NE, ,Washington,DC,,None,806-324-5400,402491.130000000004657,139057.630000000004657,0
COSTCO PHARMACY #1120,,2441 MARKET STREET NE, ,Washington,DC,,None,425-313-2860,404303.720000000030268,139167.799999999988358,0
"DISTRICT OF COLUMBIA CVS PHARMACY, LLC",,1101 NEW YORK AVE NW, ,Washington,DC,,None,401-765-1500,397606.720000000030268,137093.549999999988358,0
"DISTRICT OF COLUMBIA CVS PHARMACY, LLC DBA CVS PHARMACY #1360",,2724 MARION BARRY AVENUE SE, ,Washington,DC,,None,401-765-1500,402804.650000000023283,132509.790000000008149,0
"DISTRICT OF COLUMBIA CVS PHARMACY, LLC DBA CVS PHARMACY #11231",,15 I ST. SE, ,Washington,DC,,None,401-765-1500,399293.140000000013970,134584.160000000003492,0
"DISTRICT OF COLUMBIA CVS PHARMACY, LLC DBA CVS/ PHARMACY #17333",,3100 14TH STREET NW, ,Washington,DC,,None,401-765-1500,397140.040000000037253,140158.410000000003492,0
DUPONT CIRCLE PHARMACY,,1506 21ST STREET NW,STE 100,Washington,DC,,None,202-818-8070,395935.900000000023283,138011.630000000004657,0
DISTRICT OF COLUMBIA CVS PHARMACY DBA CVS/PHARMACY #1355,,"2009- EIGHTH STREET, NW", ,Washington,DC,,None,401-765-1500,398033.109999999986030,138815.589999999996508,0
EXCEL PHARMACY,,3923 SOUTH CAPITOL STREET SW,UNIT # A,Washington,DC,,None,202-652-1776,399255.380000000004657,129356.220000000001164,0
"FORT LINCOLN PHARMACY & MEDICAL EQUIPMENT, LLC",,3180 BLADENSBURG RD NE, ,Washington,DC,,None,202-269-0000,403464.640000000013970,140209.300000000017462,0
G W MEDICAL FACULTY ASSOCIATES PHARMACY,,2150 PENNSYLVANIA AVE NW,G201,Washington,DC,,None,202-741-2218,395788.200000000011642,137086.959999999991851,0
GENOA HEALTHCARE LLC,,801 PENNSYLVANIA AVE SE,SUITE 120,Washington,DC,,None,763-330-5827,400473.970000000030268,135089.140000000013970,0
GEORGE WASHINGTON UNIVERSITY HOSPITAL PHARMACY,,900 23RD ST NW,RM B1018,Washington,DC,,None,202-715-5037,395601.000000000000000,137051.730000000010477,0
GIANT #2376,,1400 7TH STREET NW, ,Washington,DC,,None,717-240-7541,398072.440000000002328,137896.339999999996508,1
GIANT PHARMACY #2381,,300 H STREET NE, ,Washington,DC,,None,717-240-7541,399857.330000000016298,136953.040000000008149,1
GIANT PHARMACY #375,,1050 BRENTWOOD RD NE, ,Washington,DC,,None,717-240-7541,400658.910000000032596,139038.200000000011642,1
GIANT PHARMACY #378,,1345 PARK RD NW, ,Washington,DC,,None,717-240-7541,397256.100000000034925,140354.730000000010477,1
GIANT PHARMACY #384,,1535 ALABAMA AVE SE, ,Washington,DC,,None,717-240-7541,401647.460000000020955,130789.949999999997090,1
GRUBB'S PHARMACY SE INC,,1800 MLK JR AVE SE, ,Washington,DC,,None,202-503-3610,401036.419999999983702,133305.380000000004657,0
GEORGE WASHINGTON UNIVERSITY INVESTIGATIONAL DRUG SERVICE PHARMACY,,2150 PENNSYLVANIA AVENUE NW,SUITE 6A-404,Washington,DC,,None,202-741-3624,395788.200000000011642,137086.959999999991851,0
HARRIS TEETER #352,,1201 1ST ST NE, ,Washington,DC,,None,513-782-1090,399513.609999999986030,137563.899999999994179,0
HARRIS TEETER PHARMACY #231,,1631 KALORAMA RD NW STE 100,STE 100,Washington,DC,,None,513-782-1090,396664.710000000020955,139344.489999999990687,0
HARRIS TEETER PHARMACY #383,,401 M STREET SE, ,Washington,DC,,None,513-762-1090,399991.820000000006985,134265.149999999994179,0
HSC PEDIATRIC CENTER PHARMACY,,1731 BUNKER HILL RD NE, ,Washington,DC,,None,202-635-6164,401643.809999999997672,141497.679999999993015,0
HEALING TOUCH PHARMACY #3,,"3415 23RD STREET, SE", ,Washington,DC,,None,202-506-1948,402493.070000000006985,131081.369999999995343,0
HOWARD UNIVERSITY HOSPITAL CORP.,,2041 GEORGIA AVE NW, ,Washington,DC,,None,202-865-4479,398185.739999999990687,138881.730000000010477,0
HOWARD UNIVERSITY INVESTIGATIONAL DRUG SERVICES,,SEELY  G. MUDD BUILDING/ 520 W STREET NW,ROOM 3031/32 AND 3033/34,Washington,DC,,None,202-865-7229,398259.630000000004657,138998.250000000000000,0
KAISER PERMANENTE CAPITOL HILL PHARMACY,,700 2ND ST NE,STE L18,Washington,DC,,None,443-280-7365,399657.880000000004657,136821.809999999997672,0
KAISER PERMANENTE NORTHWEST DC PHARMACY,,2301 M STREET NW,STE 200,Washington,DC,,None,443-280-7365,395632.619999999995343,137514.239999999990687,0
KALORAMA CARE PHARMACY,,1841 COLUMBIA RD NW, ,Washington,DC,,None,202-795-9711,396198.820000000006985,139291.540000000008149,0
"LA CLINICA DEL PUEBLO, INC. DBA LA FARMACIA DEL PUEBLO",,2831 15TH STREET NW, ,Washington,DC,,None,806-324-5400,396950.799999999988358,139781.250000000000000,0
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL PHARMACY,,3800 RESERVOIR RD NW, ,Washington,DC,,None,202-444-1522,393468.940000000002328,138241.619999999995343,1
MEDSTAR NATIONAL REHABILITATION HOSPITAL,,102 IRVING STREET NW, ,Washington,DC,,None,202-877-1731,398843.030000000027940,140295.860000000015134,1
MEDSTAR PHARMACY #5,,106 IRVING ST NW,STE 1200,Washington,DC,,None,410-540-4492,398751.950000000011642,140165.350000000005821,1
MEDSTAR PHARMACY #10,,3800 RESERVOIR RD NW, ,Washington,DC,,None,410-540-4492,393468.940000000002328,138241.619999999995343,1
MEDSTAR WASHINGTON HOSPITAL CENTER,,110 IRVING ST NW,110 IRVING ST NW,Washington,DC,,None,202-877-6747,398583.140000000013970,140184.869999999995343,1
METRO CARE PHARMACY,,6323 GEORGIA AVE NW,SUITE 5,Washington,DC,,None,202-722-0171,397650.130000000004657,144332.450000000011642,0
MORTON 8TH ST. PHARMACY,,724 EAST CAPITOL ST NE, ,Washington,DC,,None,443-928-6513,400418.429999999993015,135800.769999999989523,0
MT. PLEASANT CARE PHARMACY,,3169 MOUNT PLEASANT ST NW, ,Washington,DC,,None,202-387-3100,396713.160000000032596,140329.690000000002328,0
MEDITEC PHARMACY LLC,,1037 BLADENSBURG RD. NE UNIT C-2, ,Washington,DC,,None,202-990-8430,401654.919999999983702,137296.350000000005821,0
MT. PLEASANT CARE PHARMACY,,"3169 MT. PLEASANT STREET, NW", ,Washington,DC,,None,202-387-3100,396713.160000000032596,140329.690000000002328,0
NAI SATURN EASTERN LLC DBA SAFEWAY PHARMACY # 3217,,415 14TH STREET SE, ,Washington,DC,,None,208-395-4303,401231.559999999997672,135117.920000000012806,0
NAI SATURN EASTERN LLC DBA SAFEWAY PHARMACY #1276,,6500 PINEY BRANCH RD NW, ,Washington,DC,,None,208-395-4303,397698.600000000034925,144627.040000000008149,0
NAI SATURN EASTERN LLC DBA SAFEWAY PHARMACY #1445,,2845 ALABAMA AVE SE, ,Washington,DC,,None,208-395-4303,402915.040000000037253,132359.059999999997672,0
NAI SATURN EASTERN LLC DBA SAFEWAY PHARMACY #2737,,490 L ST NW, ,Washington,DC,,None,208-395-4303,398408.100000000034925,137292.769999999989523,0
NAI SATURN EASTERN LLC DBA SAFEWAY PHARMACY #2892,,1100 4TH ST SW,STE 150,Washington,DC,,None,208-395-4303,398511.049999999988358,134420.390000000013970,0
NAI SATURN EASTERN LLC DBA SAFEWAY PHARMACY #2912,,1855 WISCONSIN AVE NW, ,Washington,DC,,None,208-395-4303,394165.739999999990687,138703.580000000016298,0
NAI SATURN EASTERN LLC DBA SAFEWAY PHARMACY #4202,,1747 COLUMBIA RD NW, ,Washington,DC,,None,208-395-4303,396443.130000000004657,139595.559999999997672,0
NAI SATURN EASTERN LLC DBA SAFEWAY PHARMACY #4832,,5545 CONNECTICUT AVE NW, ,Washington,DC,,None,208-395-4303,393508.820000000006985,144079.920000000012806,0
NORTH CAPITOL PHARMACY,,1516 NORTH CAPITOL ST NW, ,Washington,DC,,None,571-309-2816,399188.580000000016298,138031.630000000004657,0
"PHARM-PRO, INC. T/A MORGAN PHARMACY",,3001 P ST NW, ,Washington,DC,,None,202-337-4100,394850.210000000020955,137957.809999999997672,0
PSYCHIATRIC INSTITUTE OF WASHINGTON,,4228 WISCONSIN AVENUE NW,4TH FLOOR,Washington,DC,,None,202-885-5657,393241.820000000006985,141783.360000000015134,0
RAMDASS PHARMACY,,475 INGRAHAM STREET NE, ,Washington,DC,,None,240-464-8218,400083.270000000018626,142874.820000000006985,0
RELIANCE PHARMACY,,4047 MINNESOTA AVE NE, ,Washington,DC,,None,202-398-2800,404539.450000000011642,136466.250000000000000,0
RODMAN'S DISCOUNT DRUGS,,5100 WISCONSIN AVE NW, ,Washington,DC,,None,301-942-9210,392731.380000000004657,143156.399999999994179,0
SEAT PLEASANT DRUGS,,354 EASTERN AVE NE, ,Washington,DC,,None,202-396-3400,407698.630000000004657,136243.830000000016298,0
ST ELIZABETH HOSPITAL PHARMACY,,1100 ALABAMA AVE SE,ROOM 113,Washington,DC,,None,202-299-5160,401006.510000000009313,131162.450000000011642,0
STATE PHARMACY INC,,2041 MARTIN LUTHER KING JR AVE SE,SUITE 100,Washington,DC,,None,301-437-6905,400882.919999999983702,133122.470000000001164,0
SUPER PHARMACY LLC,,1019 H ST NE, ,Washington,DC,,None,202-388-0050,400700.239999999990687,136903.110000000015134,0
TRIPLE ALLIANCE PHARMACY,,1219 BRENTWOOD RD NE, ,Washington,DC,,None,202-704-3350,400928.040000000037253,139142.049999999988358,0
TSCHIFFELY PHARMACY,,2021 K ST NW, ,Washington,DC,,None,703-339-1992,396029.369999999995343,137227.380000000004657,0
UNITY HEALTH CARE INC DBA UNITY HEALTH PHARMACY,,3020 14 STREET NW, ,Washington,DC,,None,806-324-5400,397135.960000000020955,140032.890000000013970,0
UNITY HEALTH CARE PHARMACY CENTRAL DETENTION,,1901 D ST SE, ,Washington,DC,,None,202-425-5043,402049.460000000020955,135066.230000000010477,0
"UNITY HEALTH CARE, INC DBA UNITY HEALTH PHARMACY",,765 KENILWORTH TERRACE NE, ,Washington,DC,,None,806-324-5400,404557.270000000018626,136953.279999999998836,0
"UNITY HEALTH CARE, INC. DBA UNITY HEALTH PHARMACY",,"3020 14TH STREET, NW", ,Washington,DC,,None,806-324-5400,397135.960000000020955,140032.890000000013970,0
VAN NESS PHARMACY LLC DBA: PILL PLUS PHARMACY,,4215 CONNECTICUT AVE NW,STE 1,Washington,DC,,None,202-244-7979,394552.160000000032596,141751.320000000006985,0
"VELIMA PHARMACY, INC.",,"4514 BENNING ROAD, SE","4514 BENNING ROAD, SE",Washington,DC,,None,202-800-6500,405492.790000000037253,135725.450000000011642,0
WAL-MART 10-5968,,5929 GEORGIA AVE NW, ,Washington,DC,,None,870-350-2408,397632.700000000011642,143781.750000000000000,0
WALMART PHARMACY 10-3035,,310 RIGGS RD N.E., ,Washington,DC,,None,870-350-2408,399820.570000000006985,143354.209999999991851,0
WHITMAN-WALKER CLINIC PHARMACY,,1525 14TH STREET NW, ,Washington,DC,,None,806-324-5400,397256.540000000037253,138068.589999999996508,0
"WHITMAN-WALKER CLINIC, INC. DBA WHITMAN-WALKER PHARMACY",,1201 SYCAMORE DRIVE SE, ,Washington,DC,,None,866-724-1805,400858.510000000009313,130768.540000000008149,0
"KINGDOM PHARMACY, LLC",,2910 MARTIN LUTHER KING JR. AVENUE SE, ,Washington,DC,,None,240-246-6671,400298.080000000016298,130877.199999999997090,0
EMERGING LIFE LLC DBA/ HEALING TOUCH PHARMACY #4,,2916 MARTIN LUTHER KING JR. AVENUE SE, ,Washington,DC,,None,202-758-0955,400280.109999999986030,130854.400000000008731,0
GRUBB'S CARE PHARMACY,,326 EAST CAPITOL ST NE, ,Washington,DC,,None,202-503-3262,399932.790000000037253,135805.420000000012806,0
COLUMBIA HEIGHTS PHARMACY,,3316 14TH ST NW, ,Washington,DC,,None,202-548-0008,397141.979999999981374,140320.429999999993015,0
CVS/PHARMACY #2787,,3701 NEW HAMPSHIRE AVENUE NW, ,Washington,DC,,None,202-722-2735,397947.280000000027940,140975.800000000017462,0
NAI SATURN EASTERN LLC DBA SAFEWAY PHARMACY #2808,,3830 GEORGIA AVE NW, ,Washington,DC,,None,208-395-4303,397845.010000000009313,141173.709999999991851,0
"MARY'S CENTER FOR MATERNAL AND CHILD CARE, INC DBA",,3912 GEORGIA AVENUE NW, ,Washington,DC,,None,806-324-5400,397823.059999999997672,141262.619999999995343,0
BELLEVUE PHARMACY,,3939 SOUTH CAPITOL ST SW, ,Washington,DC,,None,301-404-6067,399281.729999999981374,129319.669999999998254,0
"UNITY HEALTH CARE, INC. DBA UNITY HEALTH PHARMACY",,"4414 BENNING ROAD, NE",SUITE 100,Washington,DC,,None,806-324-5400,405336.169999999983702,135949.709999999991851,0
CVS/PHARMACY #1343,,4851 MASSACHUSETTS AVE NW, ,Washington,DC,,None,401-765-1500,391685.210000000020955,142013.380000000004657,0
CVS/PHARMACY #2204,,4859 MACARTHUR BLVD NW, ,Washington,DC,,None,401-765-1500,391721.820000000006985,138770.049999999988358,0
SIBLEY MEMORIAL HOSPITAL PHARMACY,,5255 LOUGHBORO RD NW, ,Washington,DC,,None,202-537-4171,390564.570000000006985,140924.899999999994179,0
"AIDS HEALTHCARE FOUNDATION, DBA AHF PHARMACY",,650 PENNSYLVANIA AVE SE,SUITE 380,Washington,DC,,None,202-350-5005,400262.130000000004657,135282.049999999988358,0
KAISER PERMANENTE CAPITOL HILL INFUSION PHARMACY,,700 2ND ST NE STE 603,STE 603,Washington,DC,,None,443-280-7365,399657.880000000004657,136821.809999999997672,0
SMOKE TEST SPECIALTY RX,,899 NORTH CAPITAL STREET NE, ,Washington,DC,,None,222-222-2222,399268.320000000006985,137017.589999999996508,0
PUBLIX - 00598,PUBLIX SUPER MARKETS INC,8000 MADISON BOULEVARD,SUITE A,MADISON,AL,MADISON,35758,256-461-6467,-86.718345999999997,34.691744900000003,0
CVS - 4815,"ALABAMA CVS PHARMACY, L.L.C.",215 UNITED STATES HIGHWAY 31 SOUTH, ,ATHENS,AL,LIMESTONE,35611,256-233-0514,-86.953233999999995,34.797272800000002,1
LIMESTONE DRUG COMPANY,TENNESSEE VALLEY HEALTHCARE LLC,200 WEST MARKET STREET, ,ATHENS,AL,LIMESTONE,35611,256-232-3811,-86.971312999999995,34.803574200000000,0
KMART,K MART CORP,300 UNITED STATES HIGHWAY 78 EAST, ,JASPER,AL,WALKER,35501,205-387-1463,-87.272756000000001,33.851987999999999,0
WALGREENS - 10966,WALGREEN CO,201 UNITED STATES HIGHWAY 31 NORTHWEST, ,HARTSELLE,AL,MORGAN,35640,256-773-4377,-86.943083999999999,34.442995799999998,1
WALGREENS - 9976,WALGREEN CO,1127 6TH AVENUE SOUTHEAST, ,DECATUR,AL,MORGAN,35601,256-355-4495,-86.980920999999995,34.589943800000000,1
CVS - 4844,"ALABAMA CVS PHARMACY, L.L.C.",812 BELTLINE ROAD SOUTHWEST, ,DECATUR,AL,MORGAN,35601,256-355-8465,-86.999532000000002,34.560767900000002,1
FOWLER DRUG COMPANY,DUNLAP DRUG CO INC,302 PINE STREET NORTHWEST, ,HARTSELLE,AL,MORGAN,35640,256-773-5421,-86.937168000000000,34.445295299999998,0
RITE AID - 7045,HARCO INC,2202 DANVILLE ROAD SOUTHWEST, ,DECATUR,AL,MORGAN,35601,256-353-7131,-87.011257000000001,34.572866099999999,0
PAY LESS EXPRESS 2 HEALTH MART PHARMACY,"PAYLESS PHARMACY EXPRESS #2, INC",1517 WEST MOULTON STREET, ,DECATUR,AL,MORGAN,35601,256-355-1815,-87.008447000000004,34.603868800000001,0
MED SURG HEALTH MART PHARMACY,MED-SURG PHARMACY INC,2828 6TH AVENUE SOUTHEAST, ,DECATUR,AL,MORGAN,35603,256-355-2828,-86.972352000000001,34.552985800000002,0
PUBLIX - 01074,PUBLIX SUPER MARKETS INC,4730 HIGHWAY 17, ,HELENA,AL,SHELBY,35080,205-620-0292,-86.854112999999998,33.279993699999999,0
WALGREENS - 5861,WALGREEN CO,3107 LURLEEN B WALLACE BOULEVARD, ,NORTHPORT,AL,TUSCALOOSA,35476,205-333-9343,-87.576098000000002,33.237980600000000,1
WALGREENS - 11180,WALGREEN CO,1700 2ND AVENUE SOUTHWEST, ,CULLMAN,AL,CULLMAN,35055,256-734-7188,-86.834180000000003,34.158745600000003,1
WELLS TURNER FAMILY PHARMACY,HOLLAND DRUG CO INC,1704 CHEROKEE AVENUE SOUTHWEST, ,CULLMAN,AL,CULLMAN,35055,256-734-1935,-86.836145000000002,34.157575899999998,0
RITE AID - 7026,HARCO INC,4501 VALLEYDALE ROAD, ,BIRMINGHAM,AL,SHELBY,35242,205-995-0403,-86.738017999999997,33.384074699999999,0
FRED'S - 1675,FREDS STORES OF TENNESSEE INC,4150 FLORENCE BOULEVARD, ,FLORENCE,AL,LAUDERDALE,35634,256-757-3855,-87.580219000000000,34.844706199999997,0
FRED'S - 1875,FREDS STORES OF TENNESSEE INC,3056 ALLISON BONNETT MEMORIAL DRIVE, ,BESSEMER,AL,JEFFERSON,35023,205-491-4464,-86.982718000000006,33.450817800000003,0
FRED'S - 2350,FREDS STORES OF TENNESSEE INC,165 BESSEMER SUPER HIGHWAY, ,MIDFIELD,AL,JEFFERSON,35228,205-923-4522,-86.914249999999996,33.463242899999997,0
FRED'S - 2758,FREDS STORES OF TENNESSEE INC,16100 UNITED STATES HIGHWAY 72, ,ROGERSVILLE,AL,LAUDERDALE,35652,256-247-6830,-87.296373000000003,34.823988000000000,0
FRED'S - 3175,FREDS STORES OF TENNESSEE INC,9574 STATE HIGHWAY 18, ,VERNON,AL,LAMAR,35592,205-695-1195,-88.114373000000001,33.753466400000001,0
ADVANCED INSULIN MANAGEMENT,"JES ENETERPRISES,LLS",1400 URBAN CENTER DRIVE,SUITE 100,VESTAVIA HILLS,AL,JEFFERSON,35242,205-380-5497,-86.704836000000000,33.481416699999997,0
WAL-MART SUPERCENTER - 394,WAL-MART STORES EAST LP,15445 STATE HIGHWAY 24, ,MOULTON,AL,LAWRENCE,35650,256-974-1597,-87.276968999999994,34.495583400000001,1
WAL-MART SUPERCENTER - 2306,WAL-MART STORES EAST LP,5710 MCFARLAND BOULEVARD, ,NORTHPORT,AL,TUSCALOOSA,35476,205-333-7873,-87.615212999999997,33.236247300000002,1
RITE AID - 7003,HARCO INC,220 FOREST ROAD, ,HUEYTOWN,AL,JEFFERSON,35023,205-491-1894,-86.985856999999996,33.450010599999999,0
CVS - 4951,"ALABAMA CVS PHARMACY, L.L.C.",3303 CLAIRMONT AVENUE SOUTH, ,BIRMINGHAM,AL,JEFFERSON,35222,205-322-3055,-86.780917000000002,33.513119600000003,1
ADAMSVILLE PHARMACY,BROOKLERE INVESTMENT COMPANY,3633 GRAY AVENUE, ,ADAMSVILLE,AL,JEFFERSON,35005,205-674-1400,-86.937183000000005,33.589196600000001,0
CHILDRENS HEALTH SYSTEM PHARMACY,THE CHILDREN'S HOSPITAL OF ALABAMA,1600 7TH AVENUE SOUTH, ,BIRMINGHAM,AL,JEFFERSON,35233,205-939-9641,-86.805203000000006,33.503985900000004,0
GREEN VALLEY DRUG COMPANY,"GREEN VALLEY DRUGS CO., INC.",1915 HOOVER COURT, ,HOOVER,AL,JEFFERSON,35226,205-822-1151,-86.808336999999995,33.402018900000002,0
TARGET,TARGET CORPORATION AND SUBSIDIARIES,3489 LOWERY PARKWAY, ,FULTONDALE,AL,JEFFERSON,35068,205-453-6033,-86.805608000000007,33.606007400000003,1
TRI COUNTY TREATMENT CENTER,"METRO TREATMENT OF ALABAMA, LP",1101 EAST PARK DRIVE, ,BIRMINGHAM,AL,JEFFERSON,35235,205-836-3345,-86.680732000000006,33.587861400000001,0
RITE AID - 7010,HARCO INC,4689 CENTER POINT ROAD, ,PINSON,AL,JEFFERSON,35126,205-680-2751,-86.681008000000006,33.694796099999998,0
MEDTOWN PHARMACY,MEDTOWN INC,221 20TH STREET NORTH, ,BIRMINGHAM,AL,JEFFERSON,35203,205-320-3296,-86.806427999999997,33.516221100000003,0
PROFESSIONAL HEALTH MART PHARMACY,"PROFESSIONAL DISCOUNT PHARMACY OF JASPER, AL., INC.",2001 NORTH AIRPORT ROAD, ,JASPER,AL,WALKER,35504,205-221-4564,-87.266621000000001,33.870151300000003,0
SAM'S CLUB - 8247,SAMS EAST INC,201 LAKESHORE PARKWAY, ,HOMEWOOD,AL,JEFFERSON,35209,205-941-0376,-86.819717999999995,33.447531300000001,0
U-SAVE PHARMACY,U SAVE PHARMACIES LLC,1680 MONTGOMERY HIGHWAY, ,HOOVER,AL,JEFFERSON,35216,205-979-1427,-86.807010000000005,33.390968100000002,0
